We	O 0 2
have	O 3 7
demonstrated	O 8 20
a	O 21 22
new	O 23 26
approach	O 27 35
to	O 36 38
the	O 39 42
manufacture	B-T 43 54
of	I-T 55 57
self-folding	B-M 58 70
hydrogel	I-M 71 79
scaffolds	I-M 80 89
by	O 90 92
the	O 93 96
use	O 97 100
of	O 101 103
readily	B-P 104 111
available	I-P 112 121
and	I-P 122 125
fast	I-P 126 130
throughput	I-P 131 141
methods.	I-P 142 149

The	O 151 154
process	O 155 162
shows	O 163 168
effective	B-P 169 178
pattern	I-P 179 186
transfer	I-P 187 195
by	O 196 198
first	O 199 204
embossing	B-P 205 214
a	I-P 215 216
sacrificial	I-P 217 228
layer	I-P 229 234
and	O 235 238
using	B-P 239 244
it	I-P 245 247
as	I-P 248 250
a	I-P 251 252
soluble	B-M 253 260
mould	I-M 261 266
in	I-P 267 269
the	I-P 270 273
fabrication	B-P 274 285
process.	I-P 286 293

The	O 295 298
use	O 299 302
of	O 303 305
a	O 306 307
sacrificial	B-M 308 319
layer	I-M 320 325
of	I-M 326 328
PAA	I-M 329 332
imparts	O 333 340
environmental	O 341 354
sensitivity	O 355 366
to	O 367 369
the	O 370 373
hydrogel	B-M 374 382
film	I-M 383 387
on	O 388 390
only	O 391 395
one	O 396 399
surface.	B-M 400 407

The	O 409 412
subsequent	O 413 423
swelling	B-P 424 432
of	I-P 433 435
the	I-P 436 439
PAA	B-P 440 443
inter-penetrating	I-P 444 461
network	I-P 462 469
(IPN)	O 470 475
in	O 476 478
elevated	B-M 479 487
pH	I-M 488 490
causes	O 491 497
a	O 498 499
swelling	B-P 500 508
differential	I-P 509 521
across	O 522 528
the	O 529 532
film,	B-M 533 537
causing	O 539 546
it	O 547 549
to	O 550 552
roll	B-P 553 557
to	O 558 560
accommodate	B-T 561 572
the	I-T 573 576
difference	I-T 577 587
in	I-T 588 590
surface	I-T 591 598
area	I-T 599 603
between	I-T 604 611
the	I-T 612 615
two	I-T 616 619
surfaces.	B-M 620 628

The	O 630 633
surface	O 634 641
functionalization	O 642 659
and	O 660 663
patterning	O 664 674
stages	O 675 681
are	O 682 685
thus	O 686 690
combined	O 691 699
into	O 700 704
one	O 705 708
photolithographic	B-P 709 726
operation.	I-P 727 736

The	O 738 741
net	O 742 745
result	O 746 752
is	O 753 755
a	O 756 757
method	O 758 764
of	O 765 767
producing	B-P 768 777
environmentally	I-P 778 793
triggered	I-P 794 803
self-folding	I-P 804 816
all	I-P 817 820
hydrogel	I-P 821 829
scaffolds	I-P 830 839
by	O 840 842
a,	O 843 844
to	O 846 848
the	O 849 852
authors’	O 853 861
knowledge,	O 862 871
novel	B-T 873 878
use	I-T 879 882
of	I-T 883 885
sacrificial	I-T 886 897
layer	I-T 898 903
embossing.	I-T 904 913

The	O 915 918
patterned	B-M 919 928
hydrogel	I-M 929 937
films	I-M 938 943
can	O 944 947
be	O 948 950
triggered	B-P 951 960
consecutively	I-P 961 974
allowing	O 975 983
for	O 984 987
successive	O 988 998
rolling	B-P 999 1006
and	O 1007 1010
unrolling	B-P 1011 1020
depending	O 1021 1030
on	O 1031 1033
the	O 1034 1037
aqueous	B-M 1038 1045
pH.	I-M 1046 1048

The	O 1050 1053
choice	O 1054 1060
of	O 1061 1063
PEGDMA	B-M 1064 1070
hydrogel	I-M 1071 1079
provides	O 1080 1088
a	O 1089 1090
versatile	B-M 1091 1100
platform	I-M 1101 1109
for	I-M 1110 1113
creating	I-M 1114 1122
a	I-M 1123 1124
variety	I-M 1125 1132
of	I-M 1133 1135
hydrogel	B-M 1136 1144
scaffolds,	I-M 1145 1154
and	O 1156 1159
while	O 1160 1165
being	O 1166 1171
non-fouling	O 1172 1183
and	O 1184 1187
nontoxic	O 1188 1196
it	O 1197 1199
is	O 1200 1202
permeable	O 1203 1212
to	O 1213 1215
proteins.	B-M 1216 1224

Furthermore	O 1226 1237
PEGDMA	B-M 1238 1244
can	O 1245 1248
be	O 1249 1251
modified	O 1252 1260
to	O 1261 1263
produce	B-T 1264 1271
biodegradable	I-T 1272 1285
and	I-T 1286 1289
cell	I-T 1290 1294
adhesive	I-T 1295 1303
hydrogels	B-M 1304 1313
for	O 1314 1317
a	O 1318 1319
variety	O 1320 1327
of	O 1328 1330
biomedical	B-T 1331 1341
applications.	I-T 1342 1354

