The	O 0 3
Magnox	B-M 4 10
reactors	I-M 11 19
represent	O 20 29
the	O 30 33
first	O 34 39
generation	O 40 50
of	O 51 53
gas-cooled	B-M 54 64
reactors	I-M 65 73
in	O 74 76
the	O 77 80
UK	O 81 83
that	O 84 88
used	O 89 93
carbon	B-M 94 100
dioxide	I-M 101 108
(CO2)	O 109 114
as	O 115 117
the	O 118 121
primary	O 122 129
coolant	B-M 130 137
and	O 138 141
a	O 142 143
honeycomb	B-M 144 153
network	I-M 154 161
of	I-M 162 164
graphite	I-M 165 173
bricks	I-M 174 180
to	O 181 183
provide	O 184 191
neutron	B-M 192 199
moderation.	I-P 200 210

During	O 212 218
reactor	B-M 219 226
operation	O 227 236
significant	O 237 248
amounts	O 249 256
of	O 257 259
carbon	B-M 260 266
monoxide	I-M 267 275
(CO)	O 276 280
was	O 281 284
produced	O 285 293
from	O 294 298
the	O 299 302
CO2	B-M 303 306
coolant.	I-M 307 314

This	O 316 320
CO	B-M 321 323
in	O 324 326
turn	O 327 331
can	O 332 335
be	O 336 338
radiolytically	B-P 339 353
polymerised	I-P 354 365
to	O 366 368
form	B-T 369 373
a	I-T 374 375
carbonaceous	I-T 376 388
deposit	I-T 389 396
on	I-T 397 399
free	I-T 400 404
surfaces	I-T 405 413
[12].	O 414 418

This	O 420 424
non-graphitic	B-M 425 438
carbon	I-M 439 445
deposit	I-M 446 453
is	O 454 456
significantly	O 457 470
more	O 471 475
chemically	O 476 486
reactive	O 487 495
to	O 496 498
air	B-M 499 502
than	O 503 507
the	O 508 511
underlying	O 512 522
graphite	B-M 523 531
[12,13].	O 532 539

During	O 541 547
the	O 548 551
lifetime	O 552 560
of	O 561 563
some	O 564 568
Magnox	B-M 569 575
reactors,	I-M 576 584
small	O 586 591
quantities	O 592 602
of	O 603 605
methane	B-M 606 613
gas	I-M 614 617
were	O 618 622
injected	O 623 631
into	O 632 636
the	O 637 640
coolant	B-M 641 648
gas	I-M 649 652
to	O 653 655
inhibit	B-T 656 663
weight	I-T 664 670
loss	I-T 671 675
of	I-T 676 678
the	I-T 679 682
graphite	I-T 683 691
core	I-T 692 696
due	I-T 697 700
to	I-T 701 703
radiolytic	I-T 704 714
oxidation	I-T 715 724
[14].	O 725 729

Methane	B-M 731 738
(CH4)	O 739 744
is	O 745 747
a	O 748 749
precursor	O 750 759
for	O 760 763
carbonaceous	B-M 764 776
deposits	I-M 777 785
that	O 786 790
form	O 791 795
a	O 796 797
sacrificial	O 798 809
layer	O 810 815
protecting	O 816 826
the	O 827 830
underlying	O 831 841
graphite	B-M 842 850
from	O 851 855
excessive	B-P 856 865
weight	I-P 866 872
loss	I-P 873 877
[15]	O 878 882
and	O 883 886
reduction	B-P 887 896
in	I-P 897 899
mechanical	I-P 900 910
strength	I-P 911 919
[16].	O 920 924

It	O 926 928
is	O 929 931
assumed	O 932 939
nitrogen	B-P 940 948
incorporation	I-P 949 962
during	I-P 963 969
deposit	I-P 970 977
formation	I-P 978 987
is	O 988 990
the	O 991 994
subsequent	O 995 1005
production	O 1006 1016
route	O 1017 1022
for	O 1023 1026
the	O 1027 1030
high	O 1031 1035
14C	O 1036 1039
levels	O 1040 1046
observed.	O 1047 1055

