We	O 0 2
have	O 3 7
demonstrated	O 8 20
a	O 21 22
new	O 23 26
approach	O 27 35
to	O 36 38
the	O 39 42
manufacture	B-KP 43 54
of	I-KP 55 57
self-folding	B-KP 58 70
hydrogel	I-KP 71 79
scaffolds	I-KP 80 89
by	O 90 92
the	O 93 96
use	O 97 100
of	O 101 103
readily	B-KP 104 111
available	I-KP 112 121
and	I-KP 122 125
fast	I-KP 126 130
throughput	I-KP 131 141
methods.	I-KP 142 150

The	O 151 154
process	O 155 162
shows	O 163 168
effective	B-KP 169 178
pattern	I-KP 179 186
transfer	I-KP 187 195
by	O 196 198
first	O 199 204
embossing	B-KP 205 214
a	I-KP 215 216
sacrificial	I-KP 217 228
layer	I-KP 229 234
and	O 235 238
using	B-KP 239 244
it	I-KP 245 247
as	I-KP 248 250
a	I-KP 251 252
soluble	B-KP 253 260
mould	I-KP 261 266
in	I-KP 267 269
the	I-KP 270 273
fabrication	B-KP 274 285
process.	I-KP 286 294

The	O 295 298
use	O 299 302
of	O 303 305
a	O 306 307
sacrificial	B-KP 308 319
layer	I-KP 320 325
of	I-KP 326 328
PAA	I-KP 329 332
imparts	O 333 340
environmental	O 341 354
sensitivity	O 355 366
to	O 367 369
the	O 370 373
hydrogel	B-KP 374 382
film	I-KP 383 387
on	O 388 390
only	O 391 395
one	O 396 399
surface.	B-KP 400 408

The	O 409 412
subsequent	O 413 423
swelling	B-KP 424 432
of	I-KP 433 435
the	I-KP 436 439
PAA	B-KP 440 443
inter-penetrating	I-KP 444 461
network	I-KP 462 469
(IPN)	B-KP 471 476
in	O 477 479
elevated	I-KP 480 488
pH	I-KP 489 491
causes	O 492 498
a	B-KP 500 501
swelling	I-KP 502 510
differential	O 511 523
across	O 524 530
the	B-KP 533 536
film,	O 537 542
causing	O 543 550
it	O 551 553
to	I-KP 554 556
roll	O 557 561
to	I-KP 562 564
accommodate	I-KP 565 576
the	I-KP 577 580
difference	I-KP 581 591
in	I-KP 592 594
surface	I-KP 595 602
area	I-KP 603 607
between	I-KP 608 615
the	I-KP 616 619
two	B-KP 620 623
surfaces.	O 624 633

The	O 634 637
surface	O 638 645
functionalization	O 646 663
and	O 664 667
patterning	O 668 678
stages	O 679 685
are	O 686 689
thus	O 690 694
combined	O 695 703
into	O 704 708
one	B-KP 709 712
photolithographic	I-KP 713 730
operation.	O 731 741

The	O 742 745
net	O 746 749
result	O 750 756
is	O 757 759
a	O 760 761
method	O 762 768
of	I-KP 769 771
producing	I-KP 772 781
environmentally	I-KP 782 797
triggered	I-KP 798 807
self-folding	I-KP 808 820
all	I-KP 821 824
hydrogel	I-KP 825 833
scaffolds	O 834 843
by	O 844 846
a,	O 847 849
to	O 850 852
the	O 853 856
authors’	O 857 865
knowledge,	O 866 876
novel	I-KP 877 882
use	I-KP 883 886
of	I-KP 887 889
sacrificial	I-KP 890 901
layer	I-KP 902 907
embossing.	O 908 918

The	B-KP 919 922
patterned	I-KP 923 932
hydrogel	I-KP 933 941
films	O 942 947
can	O 948 951
be	I-KP 952 954
triggered	I-KP 955 964
consecutively	O 965 978
allowing	O 979 987
for	O 988 991
successive	O 992 1002
rolling	O 1003 1010
and	B-KP 1011 1014
unrolling	O 1015 1024
depending	O 1025 1034
on	O 1035 1037
the	B-KP 1038 1041
aqueous	I-KP 1042 1049
pH.	O 1050 1053

The	O 1054 1057
choice	O 1058 1064
of	I-KP 1065 1067
PEGDMA	I-KP 1068 1074
hydrogel	O 1075 1083
provides	O 1084 1092
a	I-KP 1093 1094
versatile	I-KP 1095 1104
platform	I-KP 1105 1113
for	I-KP 1114 1117
creating	I-KP 1118 1126
a	I-KP 1127 1128
variety	I-KP 1129 1136
of	I-KP 1137 1139
hydrogel	I-KP 1140 1148
scaffolds,	O 1149 1159
and	O 1160 1163
while	O 1164 1169
being	O 1170 1175
non-fouling	O 1176 1187
and	O 1188 1191
nontoxic	O 1192 1200
it	O 1201 1203
is	O 1204 1206
permeable	O 1207 1216
to	I-KP 1217 1219
proteins.	O 1220 1229

Furthermore	O 1230 1241
PEGDMA	O 1242 1248
can	O 1249 1252
be	O 1253 1255
modified	O 1256 1264
to	I-KP 1265 1267
produce	I-KP 1268 1275
biodegradable	I-KP 1276 1289
and	I-KP 1290 1293
cell	I-KP 1294 1298
adhesive	I-KP 1299 1307
hydrogels	O 1308 1317
for	O 1318 1321
a	O 1322 1323
variety	O 1324 1331
of	I-KP 1332 1334
biomedical	I-KP 1335 1345
applications.	O 1346 1359

