Despite	O 0 7
the	O 8 11
fact	O 12 16
that	O 17 21
SRC-HE	B-KP 22 28
reduces	O 29 36
the	O 37 40
number	O 41 47
of	O 48 50
FEs,	O 51 55
audio	O 56 61
measurements	O 62 74
extraction	O 75 85
based	O 86 91
on	O 92 94
SRC	O 95 98
would	O 99 104
still	O 105 110
be	O 111 113
not	O 114 117
suitable	O 118 126
for	O 127 130
real-time	O 131 140
applications	O 141 153
[39].	O 154 159

The	O 160 163
previous	O 164 172
SRC-HE	O 173 179
module	O 180 186
is	O 187 189
then	O 190 194
replaced	O 195 203
by	O 204 206
the	O 207 210
generalised	B-KP 211 222
cross	I-KP 223 228
correlation	I-KP 229 240
phase	I-KP 241 246
transform	I-KP 247 256
(GCC-PHAT)	B-KP 258 268
introduced	O 269 279
in	O 280 282
Section	O 283 290
2.1,	O 291 295
as	O 296 298
this	O 299 303
does	O 304 308
not	O 309 312
involve	O 313 320
cumbersome	O 321 331
point	O 332 337
function	O 338 346
estimations.	O 347 359

The	O 360 363
drawback	O 364 372
is	O 373 375
that	O 376 380
the	O 381 384
basic	O 385 390
GCC	I-KP 391 394
algorithm	I-KP 395 404
can	O 405 408
only	O 409 413
detect	O 414 420
one	O 421 424
source	O 425 431
at	O 432 434
a	O 435 436
time	O 437 441
and	O 442 445
it	O 446 448
is	O 449 451
known	O 452 457
to	O 458 460
be	O 461 463
sensitive	O 464 473
to	O 474 476
room	O 477 481
reverberations	O 482 496
[5],	O 497 501
however	O 502 509
it	O 510 512
is	O 513 515
still	O 516 521
effective	O 522 531
under	O 532 537
moderate	O 538 546
reverberant	O 547 558
environments	O 559 571
(T60≈0.3s)	O 572 582
[40].	O 583 588

For	O 589 592
these	O 593 598
reasons,	O 599 607
at	O 608 610
first	O 611 616
experiments	O 617 628
where	O 629 634
only	O 635 639
a	B-KP 641 642
speaker	O 643 650
is	O 651 653
active	O 654 660
at	O 661 663
any	O 664 667
given	O 668 673
time	O 674 678
are	O 679 682
carried	O 683 690
out,	O 691 695
as	O 696 698
it	O 699 701
often	O 702 707
happens	O 708 715
in	O 716 718
a	O 719 720
polite	O 721 727
conversation	O 728 740
between	O 741 748
two	O 749 752
or	O 753 755
more	O 756 760
people.	O 761 768

Speech	I-KP 769 775
segments	O 776 784
using	O 785 790
a	B-KP 791 792
voice	I-KP 793 798
activity	I-KP 799 807
detector	O 808 816
(VAD)	O 817 822
[41]	O 823 827
are	O 828 831
further	O 832 839
extracted	O 840 849
and	O 850 853
processed	O 854 863
using	O 864 869
a	B-KP 870 871
GCC-PHAT	I-KP 872 880
step,	O 881 886
for	O 887 890
the	O 891 894
signal	O 895 901
to	O 902 904
be	O 905 907
more	O 908 912
robust	O 913 919
to	O 920 922
reverberations.	O 923 938

Thus,	O 939 944
the	O 945 948
measure	O 949 956
vector	O 957 963
obtained	O 964 972
za	O 973 975
(see	O 976 980
Section	O 981 988
2.1)	O 989 993
can	O 994 997
now	O 998 1001
be	O 1002 1004
rewritten	O 1005 1014
as	O 1015 1017
za={τm(t)},	O 1018 1029
where	O 1030 1035
each	O 1036 1040
component	O 1041 1050
τm	O 1051 1053
is	O 1054 1056
the	O 1057 1060
TDOA	O 1061 1065
collected	O 1066 1075
at	O 1076 1078
the	B-KP 1081 1084
m-th	I-KP 1085 1089
microphone	I-KP 1090 1100
pair	O 1101 1105
at	O 1106 1108
each	O 1109 1113
time	O 1114 1118
step	O 1119 1123
t.	O 1124 1126

Since	O 1127 1132
TDOAs	O 1133 1138
are	O 1139 1142
not	O 1143 1146
linear	O 1147 1153
in	O 1154 1156
the	O 1157 1160
speaker	O 1161 1168
position,	O 1169 1178
they	O 1179 1183
must	O 1184 1188
be	O 1189 1191
input	O 1192 1197
into	O 1198 1202
an	O 1203 1205
extended	O 1206 1214
Kalman	I-KP 1215 1221
filter	O 1222 1228
(EKF),	O 1229 1235
as	O 1236 1238
in	O 1239 1241
[10]	O 1242 1246
to	O 1247 1249
get	O 1250 1253
an	I-KP 1254 1256
audio	I-KP 1257 1262
position	I-KP 1263 1271
estimation.	O 1272 1283

