We	O 0 2
used	O 3 7
2μm	O 8 11
of	O 12 14
ultra-nanocrystalline	B-KP 15 36
diamond	I-KP 37 44
(UNCD)	B-KP 46 52
grown	O 53 58
by	O 59 61
chemical	I-KP 62 70
vapour	I-KP 71 77
deposition	I-KP 78 88
(CVD)	B-KP 89 94
on	O 95 97
a	O 98 99
∼520μm	O 100 106
silicon	O 107 114
carrier	O 115 122
wafer	O 123 128
from	O 129 133
Advanced	O 134 142
Diamond	O 143 150
Technologies	O 151 163
Ltd.	O 164 168

Detailed	O 169 177
information	O 178 189
about	O 190 195
the	O 196 199
material	O 200 208
and	O 209 212
the	O 213 216
stamp	O 217 222
fabrication	O 223 234
can	O 235 238
be	O 239 241
found	O 242 247
in	O 248 250
our	O 251 254
earlier	O 255 262
paper	O 263 268
[16].	O 269 274

The	O 275 278
UNCD	I-KP 279 283
wafer	I-KP 284 289
was	O 290 293
scribed	O 294 301
into	O 302 306
1×1cm2	O 307 313
samples	O 314 321
and	O 322 325
subjected	O 326 335
to	O 336 338
RCA	I-KP 339 342
cleaning	I-KP 343 351
(SC-1),	O 352 359
followed	O 360 368
by	O 369 371
ultrasonic	I-KP 372 382
solvent	I-KP 383 390
cleaning.	O 391 400

Nanofeature	I-KP 401 412
stamps	I-KP 413 419
were	I-KP 420 424
then	I-KP 425 429
created	I-KP 430 437
from	I-KP 438 442
the	I-KP 443 446
samples	I-KP 447 454
using	O 455 460
conventional	I-KP 461 473
electron	I-KP 474 482
beam	I-KP 483 487
lithography	I-KP 488 499
(EBL)	B-KP 500 505
with	O 506 510
negative	I-KP 511 519
tone	I-KP 520 524
electron	I-KP 525 533
sensitive	I-KP 534 543
resist,	O 544 551
hydrogen	I-KP 552 560
silsesquioxane	I-KP 561 575
(HSQ).	B-KP 576 582

An	O 583 585
Al	I-KP 586 588
discharge	I-KP 589 598
layer	I-KP 599 604
was	O 605 608
required	O 609 617
above	O 618 623
the	O 624 627
resist	O 628 634
to	O 635 637
prevent	I-KP 638 645
e-beam	I-KP 646 652
deflection	I-KP 653 663
due	I-KP 664 667
to	I-KP 668 670
charge	I-KP 671 677
build-up	I-KP 678 686
on	I-KP 687 689
the	I-KP 690 693
surface	I-KP 694 701
[17].	O 702 707

Several	I-KP 708 715
stamps	I-KP 716 722
were	I-KP 723 727
produced	I-KP 728 736
with	O 737 741
this	O 742 746
process	O 747 754
and	O 755 758
the	O 759 762
pattern	O 763 770
written	O 771 778
varied	O 779 785
in	O 786 788
design	O 789 795
but	O 796 799
consisted	O 800 809
of	O 810 812
arrays	O 813 819
of	O 820 822
circular	I-KP 823 831
pillars.	O 832 840

After	O 841 846
EBL	I-KP 847 850
and	I-KP 851 854
HSQ	I-KP 855 858
development,	I-KP 859 871
the	O 872 875
HSQ	I-KP 876 879
was	O 880 883
used	O 884 888
as	O 889 891
an	O 892 894
etch	I-KP 895 899
mask	I-KP 900 904
for	O 905 908
RIE	I-KP 909 912
with	O 913 917
a	O 918 919
mixture	O 920 927
of	O 928 930
oxygen	I-KP 931 937
and	O 938 941
argon	I-KP 942 947
gas.	O 948 952

The	O 953 956
etched	I-KP 957 963
diamond	I-KP 964 971
nanopillars	I-KP 972 983
were	O 984 988
typically	O 989 998
225nm	O 999 1004
high.	O 1005 1010

Fig.	O 1011 1015

1	O 1016 1017
displays	O 1018 1026
a	B-KP 1028 1029
scanning	I-KP 1030 1038
electron	I-KP 1039 1047
micrograph	O 1048 1058
of	O 1059 1061
some	O 1062 1066
typical	O 1067 1074
stamp	O 1075 1080
features.	O 1081 1090

