In	O 0 2
contrast	O 3 11
with	O 12 16
polymers,	B-KP 17 26
which	O 27 32
are	O 33 36
typically	O 37 46
synthesized	B-KP 47 58
in	I-KP 59 61
the	I-KP 62 65
liquid	I-KP 66 72
phase,	I-KP 73 79
SWNTs	B-KP 80 85
are	O 86 89
produced	B-KP 90 98
through	I-KP 99 106
a	I-KP 107 108
variety	I-KP 109 116
of	I-KP 117 119
synthesis	I-KP 120 129
techniques	I-KP 130 140
that	O 141 145
typically	O 146 155
involve	O 156 163
the	B-KP 164 167
reaction	I-KP 168 176
of	I-KP 177 179
a	I-KP 180 181
gaseous	I-KP 182 189
carbon	I-KP 190 196
feedstock	I-KP 197 206
to	I-KP 207 209
form	I-KP 210 214
the	I-KP 215 218
nanotubes	I-KP 219 228
on	I-KP 229 231
catalyst	I-KP 232 240
particles.	I-KP 241 251

MWNTs	B-KP 252 257
were	O 258 262
first	O 263 268
observed	B-KP 269 277
in	I-KP 278 280
arc	I-KP 281 284
discharge	I-KP 285 294
fullerene	I-KP 295 304
reactors	I-KP 305 313
[1,26];	O 314 321
this	B-KP 322 326
technique	I-KP 327 336
was	O 337 340
later	O 341 346
adapted	O 347 354
to	O 355 357
produce	O 358 365
SWNTs	B-KP 366 371
[3].	O 372 376

Similarly,	O 377 387
the	B-KP 388 391
fullerene	I-KP 392 401
production	I-KP 402 412
method	I-KP 413 419
of	I-KP 420 422
laser	I-KP 423 428
ablation	I-KP 429 437
[27]	O 438 442
was	O 443 446
adapted	O 447 454
to	O 455 457
produce	O 458 465
SWNTs	B-KP 466 471
(∼1.4nm	O 472 479
diameter)	O 480 489
in	O 490 492
larger	O 493 499
quantities	O 500 510
on	O 511 513
metal	B-KP 514 519
catalyst	I-KP 520 528
particles	I-KP 529 538
[28–30].	O 539 547

A	O 548 549
number	O 550 556
of	O 557 559
chemical	B-KP 560 568
vapor	I-KP 569 574
deposition	I-KP 575 585
(CVD)	B-KP 587 592
processes	O 593 602
have	O 603 607
been	O 608 612
developed	O 613 622
to	O 623 625
grow	O 626 630
SWNTs	I-KP 631 636
and	O 637 640
MWNTs,	O 641 647
all	O 648 651
involving	O 652 661
the	I-KP 662 665
reaction	I-KP 666 674
of	I-KP 675 677
a	I-KP 678 679
gaseous	I-KP 680 687
carbon	I-KP 688 694
compound	I-KP 695 703
as	I-KP 704 706
feedstock.	O 707 717

These	O 718 723
processes	O 724 733
include	O 734 741
fluidized	I-KP 742 751
bed	I-KP 752 755
[31],	O 756 761
“carpet”	I-KP 762 770
growth	I-KP 771 777
of	I-KP 778 780
carbon	I-KP 781 787
nanotubes	I-KP 788 797
(CNTs)	B-KP 798 804
from	I-KP 805 809
catalyst	I-KP 810 818
particles	I-KP 819 828
embedded	I-KP 829 837
in	I-KP 838 840
a	I-KP 841 842
substrate	I-KP 843 852
[32–35]	O 853 860
as	O 861 863
shown	O 864 869
in	O 870 872
Fig.	O 873 877

3,	O 878 880
and	O 881 884
“catalytic	I-KP 885 895
gas	I-KP 896 899
flow	I-KP 900 904
CVD”	I-KP 905 909
[36,37].	O 910 918

One	O 919 922
of	O 923 925
the	I-KP 926 929
most	I-KP 930 934
effective,	I-KP 935 945
cheap,	I-KP 946 952
and	I-KP 953 956
scalable	I-KP 957 965
CVD	I-KP 966 969
techniques	I-KP 970 980
is	O 981 983
the	O 984 987
HiPco	I-KP 988 993
(high-pressure	I-KP 994 1008
CO)	I-KP 1009 1012
process,	O 1013 1021
which	O 1022 1027
does	I-KP 1028 1032
not	I-KP 1033 1036
use	I-KP 1037 1040
pre-formed	I-KP 1041 1051
catalyst	I-KP 1052 1060
particles	I-KP 1061 1070
unlike	O 1071 1077
most	O 1078 1082
other	O 1083 1088
CVD	I-KP 1089 1092
techniques	I-KP 1093 1103
[38].	O 1104 1109

