Two	O 0 3
methods	O 4 11
of	O 12 14
formulating	B-KP 15 26
anionic	I-KP 27 34
nanocomplexes	I-KP 35 48
were	O 49 53
evaluated.	O 54 64

In	O 65 67
both,	O 68 73
nanocomplexes	B-KP 74 87
were	O 88 92
prepared	B-KP 93 101
in	O 102 104
water	O 105 110
at	O 111 113
a	O 114 115
range	O 116 121
of	O 122 124
molar	O 125 130
charge	O 131 137
ratios	O 138 144
of	O 145 147
L	O 148 149
to	O 150 152
D	O 153 154
while	O 155 160
the	O 161 164
peptide	O 165 172
P	O 173 174
to	O 175 177
D	O 178 179
molar	O 180 185
charge	O 186 192
ratio	O 193 198
was	O 199 202
maintained	O 203 213
constant	O 214 222
at	O 223 225
3:1.	O 226 230

Method	O 231 237
1	O 238 239
(L:D:P):	O 240 248
DNA	B-KP 249 252
was	O 253 256
first	O 257 262
added	B-KP 263 268
to	O 269 271
an	B-KP 272 274
anionic	I-KP 275 282
liposome	I-KP 283 291
(LA,	B-KP 293 297
LAP1	I-KP 298 302
or	I-KP 303 305
LAP2)	O 306 311
and	O 312 315
incubated	I-KP 316 325
for	O 326 329
15min	O 330 335
at	O 336 338
room	O 339 343
temperature	O 344 355
and	O 356 359
then	O 360 364
the	O 365 368
peptide	O 369 376
was	O 377 380
added	I-KP 381 386
with	O 387 391
rapid	O 392 397
mixing	O 398 404
and	O 405 408
incubated	I-KP 409 418
at	O 419 421
room	O 422 426
temperature	O 427 438
for	O 439 442
a	O 443 444
further	O 445 452
20min;	O 453 459
Method	O 460 466
2	O 467 468
(P:D:L):	O 469 477
the	O 478 481
peptide	I-KP 482 489
was	O 490 493
added	I-KP 494 499
to	O 500 502
the	O 503 506
DNA	O 507 510
and	O 511 514
incubated	I-KP 515 524
for	O 525 528
15min	O 529 534
at	O 535 537
room	O 538 542
temperature	O 543 554
and	O 555 558
then	O 559 563
liposome	I-KP 564 572
was	O 573 576
added	I-KP 577 582
with	O 583 587
rapid	O 588 593
mixing	O 594 600
and	O 601 604
incubated	I-KP 605 614
at	O 615 617
room	O 618 622
temperature	O 623 634
for	O 635 638
a	O 639 640
further	O 641 648
20min.	O 649 655

Irrespective	O 656 668
of	O 669 671
the	O 672 675
method	O 676 682
of	O 683 685
order	O 686 691
of	O 692 694
mixing,	O 695 702
all	O 703 706
molar	O 707 712
charge	O 713 719
ratios	O 720 726
in	O 727 729
this	O 730 734
study	O 735 740
refer	O 741 746
to	O 747 749
L:P:D.	O 750 756

Cationic	O 757 765
formulations	O 766 778
LPD	I-KP 779 782
and	O 783 786
LCPRGPD	I-KP 787 794
were	O 795 799
prepared	O 800 808
in	O 809 811
the	O 812 815
order	O 816 821
L:P:D	O 822 827
as	O 828 830
described	O 831 840
previously;	O 841 852
first,	O 853 859
the	O 860 863
peptide	O 864 871
was	O 872 875
added	I-KP 876 881
to	O 882 884
the	O 885 888
liposome	O 889 897
DOTMA/DOPE	O 898 908
or	O 909 911
LCPRG	I-KP 912 917
followed	O 918 926
by	O 927 929
addition	O 930 938
of	O 939 941
the	O 942 945
DNA	I-KP 946 949
with	O 950 954
rapid	I-KP 955 960
mixing	I-KP 961 967
and	I-KP 968 971
incubated	I-KP 972 981
for	O 982 985
30min	O 986 991
at	O 992 994
room	O 995 999
temperature	O 1000 1011
to	O 1012 1014
allow	O 1015 1020
for	O 1021 1024
complex	O 1025 1032
formation	O 1033 1042
[30].	O 1043 1048

The	O 1049 1052
nanocomplexes	O 1053 1066
prepared	O 1067 1075
were	O 1076 1080
termed	O 1081 1087
LPD	I-KP 1088 1091
(liposome	B-KP 1092 1101
DOTMA/DOPE),	O 1102 1114
LADP	I-KP 1115 1119
and	O 1120 1123
PDLA	I-KP 1124 1128
(liposome	B-KP 1129 1138
LA),	O 1139 1143
PDLAP1	I-KP 1144 1150
(liposome	B-KP 1151 1160
LAP1),	O 1161 1167
PDLAP2	I-KP 1168 1174
(liposome	B-KP 1175 1184
LAP2),	O 1185 1191
PDLAPRG	I-KP 1192 1199
(liposome	B-KP 1200 1209
LAPRG)	O 1210 1216
and	O 1217 1220
LCPRGPD	I-KP 1221 1228
(liposome	B-KP 1229 1238
LCPRG).	O 1239 1246

